Category,Question
Course organization,How can I creatively organize my courses?
Homework effectiveness,Give me creative ways to assign effective homework.
Grading,How can I creatively improve my grading
Course relevance,How can I be creative in conveying my course's relevance?
Enthusiasm for the subject,What are some creative ways in which I can convey my enthusiasm for the subject matter?
Preparedness,Give me creative ways to effectively prepare for my classes.
Ability to explain difficult concepts,Give me creative ways in which I can explain a difficult concept in class.
Presentation ability,Give me some creative ways in which I can present in class.
Responsiveness to students' needs,Give me some unique ways in which I can respond to my students' needs.
Effectiveness of examples,Give me creative ways in which I can create examples to demonstrate a concept.
