Category,Question
Clarity of the course objectives,How can I improve the clarity of the course objectives for my educational institution? Give me examples
Course organization,How can I improve the course organization for my educational institution? Give me examples
Effectiveness of class time,How can I improve the effectiveness of class time for my educational institution? Give me examples
Effectiveness of homework and projects in support of learning,How can I improve the effectiveness of homework and projects in support of learning for my educational institution? Give me examples
Effectiveness of assignments in developing communication skills (written and oral),"How can I improve the effectiveness of assignments in developing communication skills, both written and oral, for my educational institution? Give me examples"
Quality of tests and quizzes as measures of achievement,How can I enhance the quality of tests and quizzes as measures of achievement for my educational institution? Give me examples
"Usefulness of feedback, e.g., grading and comments","How can I provide more useful feedback, such as grading and comments, for my educational institution? Give me examples"
"Appropriateness of number of tests, quizzes, etc.","How can I determine the appropriate number of tests, quizzes, etc., for my educational institution? Give me examples"
Usefulness of textbook,How can I choose more useful textbooks for my educational institution? Give me examples
"Usefulness of supportive material, e.g., class notes, handouts, web-based material, etc.","How can I optimize the usefulness of supportive materials, such as class notes, handouts, and web-based content, for my educational institution? Give me examples"
Relevance of the course to your academic and professional development,How can I ensure the relevance of a course to students' academic and professional development for my educational institution? Give me examples
Knowledge of subject matter,How can I ensure instructors have a deep knowledge of the subject matter for my educational institution? Give me examples
Level of enthusiasm for subject,How can I foster a higher level of enthusiasm for the subject among instructors for my educational institution? Give me examples
Organization,How can I improve the overall organization of courses for my educational institution? Give me examples
Preparedness,How can I ensure instructors are well-prepared for their classes for my educational institution? Give me examples
Ability to explain difficult concepts,How can I train instructors to explain difficult concepts effectively for my educational institution? Give me examples
Speaking ability; presentation ability,How can I enhance instructors' speaking and presentation abilities for my educational institution? Give me examples
Approachability,How can I promote the approachability of instructors for my educational institution? Give me examples
Fairness and promptness in grading,How can I ensure fairness and promptness in grading for my educational institution? Give me examples
Responsiveness to students needs,How can I make my educational institution more responsive to student needs? Give me examples
Challenges students to do their best work,How can I challenge students to produce their best work for my educational institution? Give me examples
Encourages classroom questions and discussion,How can I encourage more classroom questions and discussions for my educational institution? Give me examples
"Effectiveness of examples, demonstrations, etc.","How can I improve the effectiveness of examples, demonstrations, etc., for my educational institution? Give me examples"
Ability to keep students interested/ motivated; conveys relevance,"How can I ensure instructors keep students interested, motivated, and convey relevance for my educational institution? Give me examples"
Availability /accessibility outside of class hours,How can I increase the availability and accessibility of instructors outside of class hours for my educational institution? Give me examples
Effectiveness of assistance outside of class hours,How can I improve the effectiveness of assistance provided outside of class hours for my educational institution? Give me examples
