Category,Question
Course organization,How do professors organize their courses?
Homework effectiveness,How do professors create effective homework?
Grading,How do good professors grade?
Course relevance,How do effective educators convey course relevance?
Enthusiasm for the subject,How do seasoned professors display enthusiasm for the subject matter?
Preparedness,How do educators effectively prepare for their classes?
Ability to explain difficult concepts,How do seasoned professors explain difficult concepts in class?
Presentation ability,What are the attributes of a good oral presentation?
Responsiveness to students' needs,How do good educators respond to their student's needs?
Effectiveness of examples,How do good educators provide good examples of concepts?
