Category,Question
Clarity of the course objectives,Give me creative ways to improve the clarity of the course objectives.
Course organization,Give me creative ways to improve the course organization.
Effectiveness of class time,Give me creative ways to improve the effectiveness of class time.
Effectiveness of homework and projects in support of learning,Give me creative ways to improve the effectiveness of homework and projects in support of learning.
Effectiveness of assignments in developing communication skills (written and oral),Give me creative ways to improve the effectiveness of assignments in developing both written and oral communication skills.
Quality of tests and quizzes as measures of achievement,Give me creative ways to enhance the quality of tests and quizzes as measures of achievement.
"Usefulness of feedback, e.g., grading and comments","Give me creative ways to provide more useful feedback, such as grading and comments."
"Appropriateness of number of tests, quizzes, etc.","Give me creative ways to determine the appropriate number of tests, quizzes, etc."
Usefulness of textbook,Give me creative ways to choose more useful textbooks.
"Usefulness of supportive material, e.g., class notes, handouts, web-based material, etc.","Give me creative ways to optimize the usefulness of supportive materials, such as class notes, handouts, and web-based content."
Relevance of the course to your academic and professional development,Give me creative ways to ensure the relevance of a course to students' academic and professional development.
Knowledge of subject matter,Give me creative ways to ensure instructors have a deep knowledge of the subject matter.
Level of enthusiasm for subject,Give me creative ways to foster a higher level of enthusiasm for the subject among instructors.
Organization,Give me creative ways to improve the overall organization of courses.
Preparedness,Give me creative ways to ensure instructors are well-prepared for their classes.
Ability to explain difficult concepts,Give me creative ways to train instructors to explain difficult concepts effectively.
Speaking ability; presentation ability,Give me creative ways to enhance instructors' speaking and presentation abilities.
Approachability,Give me creative ways to promote the approachability of instructors.
Fairness and promptness in grading,Give me creative ways to ensure fairness and promptness in grading.
Responsiveness to students needs,Give me creative ways to become more responsive to student needs.
Challenges students to do their best work,Give me creative ways to challenge students to produce their best work.
Encourages classroom questions and discussion,Give me creative ways to encourage more classroom questions and discussions.
"Effectiveness of examples, demonstrations, etc.","Give me creative ways to improve the effectiveness of examples, demonstrations, etc."
Ability to keep students interested/ motivated; conveys relevance,"Give me creative ways to ensure instructors keep students interested, motivated, and convey relevance."
Availability /accessibility outside of class hours,Give me creative ways to increase the availability and accessibility of instructors outside of class hours.
Effectiveness of assistance outside of class hours,Give me creative ways to improve the effectiveness of assistance provided outside of class hours.
