Category,Question
Cleanliness and hygiene,Give me creative ways to improve cleanliness and hygiene quality of my hotel?
Comfort,Give me creative ways to increase customer's comfort level at my hotel.
Efficient staff,Give me creative ways to maintain staff efficiency?
convenient location,How can I be creative to work around my hotels peculiar location.
basic facilities,How can I be creative with basic facilities at my hotel?
good food,How can I offer creative dining experience to my customers?
efficient checkin,How can I creatively improve customer checkin and checkout experience?
ambiance,Give me creative ways to improve my hotel's ambiance.
pricing,How can I be creative with my hotel pricing?
responsiveness,How can I creatively address customer's constructive criticism?
