Category,Question
quality of food and beverages,Give me creative ways to improve the quality of food and beverages provided for my restaurant.
order accuracy,Give me creative ways to improve the accuracy of order for my restaurant.
service accompaniments,"Give me creative ways to improve the service accompaniments provided (plates, glassware, cutlery, etc.) for my restaurant."
reservation services,"Give me creative ways to improve the quality of service provided by Special Functions staff (making reservations, etc.) for my restaurant."
portion size,Give me creative ways to improve the portion size (possible adjustments) for my restaurant.
flavor,Give me creative ways to improve the flavor of dishes for my restaurant.
presentation,Give me creative ways to improve the presentation of dishes for my restaurant.
Cleanliness,Give me creative ways to promote my restaurant’s cleanliness.
wait time,Give me creative ways to improve the wait time for food service for my restaurant.
atmosphere,Give me creative ways to improve the atmosphere for my restaurant.
